pair_id,id1,id2,file1,file2,label
425,13122193,4404036,src/1312/Snippet_13122193.java,src/0440/Snippet_4404036.java,False
599,12115248,1109960,src/1211/Snippet_12115248.java,src/0110/Snippet_1109960.java,False
1206,11838691,13247325,src/1183/Snippet_11838691.java,src/1324/Snippet_13247325.java,True
1773,20806023,13048962,src/2080/Snippet_20806023.java,src/1304/Snippet_13048962.java,True
2260,15376881,130757,src/1537/Snippet_15376881.java,src/0013/Snippet_130757.java,True
2689,16050015,19880277,src/1605/Snippet_16050015.java,src/1988/Snippet_19880277.java,False
2805,132551,21636561,src/0013/Snippet_132551.java,src/2163/Snippet_21636561.java,True
2973,5343103,169201,src/0534/Snippet_5343103.java,src/0016/Snippet_169201.java,False
3402,1307907,19651243,src/0130/Snippet_1307907.java,src/1965/Snippet_19651243.java,False
3717,20566090,19382420,src/2056/Snippet_20566090.java,src/1938/Snippet_19382420.java,False
5814,2084425,19556732,src/0208/Snippet_2084425.java,src/1955/Snippet_19556732.java,False
6182,12176858,12440171,src/1217/Snippet_12176858.java,src/1244/Snippet_12440171.java,False
6402,2088652,16477574,src/0208/Snippet_2088652.java,src/1647/Snippet_16477574.java,False
6814,8688357,4889271,src/0868/Snippet_8688357.java,src/0488/Snippet_4889271.java,True
7540,15796324,11552288,src/1579/Snippet_15796324.java,src/1155/Snippet_11552288.java,True
8203,10089329,22347366,src/1008/Snippet_10089329.java,src/2234/Snippet_22347366.java,False
8491,9552054,22608103,src/0955/Snippet_9552054.java,src/2260/Snippet_22608103.java,True
9767,12678588,3946138,src/1267/Snippet_12678588.java,src/0394/Snippet_3946138.java,True
9853,1728000,21505139,src/0172/Snippet_1728000.java,src/2150/Snippet_21505139.java,False
10139,4519500,23537682,src/0451/Snippet_4519500.java,src/2353/Snippet_23537682.java,True
10644,14380467,12352751,src/1438/Snippet_14380467.java,src/1235/Snippet_12352751.java,True
12038,17874921,3233094,src/1787/Snippet_17874921.java,src/0323/Snippet_3233094.java,False
12861,19947814,19392394,src/1994/Snippet_19947814.java,src/1939/Snippet_19392394.java,True
13266,7356945,3109682,src/0735/Snippet_7356945.java,src/0310/Snippet_3109682.java,False
14338,21364786,941896,src/2136/Snippet_21364786.java,src/0094/Snippet_941896.java,False
14594,12955229,1856551,src/1295/Snippet_12955229.java,src/0185/Snippet_1856551.java,False
14835,4577358,15700440,src/0457/Snippet_4577358.java,src/1570/Snippet_15700440.java,False
15474,14212606,505090,src/1421/Snippet_14212606.java,src/0050/Snippet_505090.java,False
15582,12306296,14783945,src/1230/Snippet_12306296.java,src/1478/Snippet_14783945.java,True
16093,435331,130541,src/0043/Snippet_435331.java,src/0013/Snippet_130541.java,False
16547,21565624,1691633,src/2156/Snippet_21565624.java,src/0169/Snippet_1691633.java,True
18080,2771574,11291099,src/0277/Snippet_2771574.java,src/1129/Snippet_11291099.java,False
20324,14510383,22670950,src/1451/Snippet_14510383.java,src/2267/Snippet_22670950.java,True
20422,16164037,739727,src/1616/Snippet_16164037.java,src/0073/Snippet_739727.java,False
20480,20870396,20273405,src/2087/Snippet_20870396.java,src/2027/Snippet_20273405.java,True
21369,9110357,21186037,src/0911/Snippet_9110357.java,src/2118/Snippet_21186037.java,False
21753,10628604,12283132,src/1062/Snippet_10628604.java,src/1228/Snippet_12283132.java,False
22056,22602225,22619332,src/2260/Snippet_22602225.java,src/2261/Snippet_22619332.java,True
22394,15527452,4776985,src/1552/Snippet_15527452.java,src/0477/Snippet_4776985.java,True
23005,8665322,14416228,src/0866/Snippet_8665322.java,src/1441/Snippet_14416228.java,False
24813,3569939,4681906,src/0356/Snippet_3569939.java,src/0468/Snippet_4681906.java,False
25611,19442138,1820410,src/1944/Snippet_19442138.java,src/0182/Snippet_1820410.java,True
25990,2495361,19147297,src/0249/Snippet_2495361.java,src/1914/Snippet_19147297.java,True
26225,8561747,6951110,src/0856/Snippet_8561747.java,src/0695/Snippet_6951110.java,False
26240,5021563,21907871,src/0502/Snippet_5021563.java,src/2190/Snippet_21907871.java,False
26925,12523607,659091,src/1252/Snippet_12523607.java,src/0065/Snippet_659091.java,False
27032,17530413,19731419,src/1753/Snippet_17530413.java,src/1973/Snippet_19731419.java,True
27121,22328842,2396188,src/2232/Snippet_22328842.java,src/0239/Snippet_2396188.java,False
27529,21644801,1607806,src/2164/Snippet_21644801.java,src/0160/Snippet_1607806.java,False
27824,14638789,20190305,src/1463/Snippet_14638789.java,src/2019/Snippet_20190305.java,False
28276,1152136,3532296,src/0115/Snippet_1152136.java,src/0353/Snippet_3532296.java,True
28418,12107388,4482782,src/1210/Snippet_12107388.java,src/0448/Snippet_4482782.java,True
28941,21900384,411631,src/2190/Snippet_21900384.java,src/0041/Snippet_411631.java,True
30094,3375714,821218,src/0337/Snippet_3375714.java,src/0082/Snippet_821218.java,False
30271,23525479,488614,src/2352/Snippet_23525479.java,src/0048/Snippet_488614.java,False
30353,5883596,5091542,src/0588/Snippet_5883596.java,src/0509/Snippet_5091542.java,False
30359,189777,704314,src/0018/Snippet_189777.java,src/0070/Snippet_704314.java,True
30434,18583832,7655679,src/1858/Snippet_18583832.java,src/0765/Snippet_7655679.java,True
31244,16961459,481375,src/1696/Snippet_16961459.java,src/0048/Snippet_481375.java,False
32146,12914531,18456843,src/1291/Snippet_12914531.java,src/1845/Snippet_18456843.java,True
32537,7132185,20051892,src/0713/Snippet_7132185.java,src/2005/Snippet_20051892.java,True
32663,20438542,17245830,src/2043/Snippet_20438542.java,src/1724/Snippet_17245830.java,True
32938,2705183,10480051,src/0270/Snippet_2705183.java,src/1048/Snippet_10480051.java,False
33326,6634379,3603774,src/0663/Snippet_6634379.java,src/0360/Snippet_3603774.java,True
33659,23634465,19900641,src/2363/Snippet_23634465.java,src/1990/Snippet_19900641.java,True
34225,6244937,8544627,src/0624/Snippet_6244937.java,src/0854/Snippet_8544627.java,True
34305,5450104,23647738,src/0545/Snippet_5450104.java,src/2364/Snippet_23647738.java,True
34985,8250358,12345227,src/0825/Snippet_8250358.java,src/1234/Snippet_12345227.java,False
37642,22431486,18797768,src/2243/Snippet_22431486.java,src/1879/Snippet_18797768.java,False
37778,14746783,5832949,src/1474/Snippet_14746783.java,src/0583/Snippet_5832949.java,True
38479,18828007,2911006,src/1882/Snippet_18828007.java,src/0291/Snippet_2911006.java,True
38817,1458628,23370628,src/0145/Snippet_1458628.java,src/2337/Snippet_23370628.java,True
39019,14230405,2238217,src/1423/Snippet_14230405.java,src/0223/Snippet_2238217.java,True
40115,7606030,7736983,src/0760/Snippet_7606030.java,src/0773/Snippet_7736983.java,False
40605,19693561,7300257,src/1969/Snippet_19693561.java,src/0730/Snippet_7300257.java,False
41337,14483804,20051892,src/1448/Snippet_14483804.java,src/2005/Snippet_20051892.java,False
41672,13533160,6128265,src/1353/Snippet_13533160.java,src/0612/Snippet_6128265.java,False
41797,13821141,14257554,src/1382/Snippet_13821141.java,src/1425/Snippet_14257554.java,False
41832,13447231,330216,src/1344/Snippet_13447231.java,src/0033/Snippet_330216.java,True
42185,14840477,10195219,src/1484/Snippet_14840477.java,src/1019/Snippet_10195219.java,False
42213,9766481,5401999,src/0976/Snippet_9766481.java,src/0540/Snippet_5401999.java,False
43064,19693671,20109527,src/1969/Snippet_19693671.java,src/2010/Snippet_20109527.java,False
43860,23525240,4397068,src/2352/Snippet_23525240.java,src/0439/Snippet_4397068.java,True
45471,16529002,3791822,src/1652/Snippet_16529002.java,src/0379/Snippet_3791822.java,True
45561,23035538,22939296,src/2303/Snippet_23035538.java,src/2293/Snippet_22939296.java,False
45767,15639580,14291788,src/1563/Snippet_15639580.java,src/1429/Snippet_14291788.java,True
46228,10718506,9901451,src/1071/Snippet_10718506.java,src/0990/Snippet_9901451.java,False
46542,778875,8909675,src/0077/Snippet_778875.java,src/0890/Snippet_8909675.java,True
47549,20603864,20654481,src/2060/Snippet_20603864.java,src/2065/Snippet_20654481.java,False
47623,16386620,9685053,src/1638/Snippet_16386620.java,src/0968/Snippet_9685053.java,False
47726,17856104,7902811,src/1785/Snippet_17856104.java,src/0790/Snippet_7902811.java,False
48050,14212319,9656103,src/1421/Snippet_14212319.java,src/0965/Snippet_9656103.java,True
48225,11322573,18976770,src/1132/Snippet_11322573.java,src/1897/Snippet_18976770.java,True
48458,210587,9348293,src/0021/Snippet_210587.java,src/0934/Snippet_9348293.java,True
49405,11986407,1874550,src/1198/Snippet_11986407.java,src/0187/Snippet_1874550.java,False
51426,21649269,21575638,src/2164/Snippet_21649269.java,src/2157/Snippet_21575638.java,True
52179,2177544,11103539,src/0217/Snippet_2177544.java,src/1110/Snippet_11103539.java,True
52578,10412897,22534224,src/1041/Snippet_10412897.java,src/2253/Snippet_22534224.java,False
52657,3874060,3088336,src/0387/Snippet_3874060.java,src/0308/Snippet_3088336.java,False
52727,17363729,8216603,src/1736/Snippet_17363729.java,src/0821/Snippet_8216603.java,False
53035,17470307,19569154,src/1747/Snippet_17470307.java,src/1956/Snippet_19569154.java,False
53045,5854498,7525367,src/0585/Snippet_5854498.java,src/0752/Snippet_7525367.java,True
53266,8285105,4364579,src/0828/Snippet_8285105.java,src/0436/Snippet_4364579.java,False
