2,13,1.0
2,148,1.0
3,115,1.0
3,30,1.0
7,170,1.0
7,220,1.0
9,86,1.0
11,215,1.0
11,94,1.0
12,68,1.0
12,147,1.0
15,750,0.7763158
16,204,1.0
17,74,1.0
17,149,1.0
18,104,1.0
18,169,1.0
19,170,1.0
19,137,1.0
22,26,1.0
23,116,1.0
23,109,1.0
25,98,1.0
25,137,1.0
27,81,1.0
28,79,1.0
28,47,1.0
29,31,1.0
29,197,1.0
30,74,1.0
31,80,1.0
32,192,1.0
33,179,1.0
34,35,1.0
36,202,1.0
37,119,1.0
37,67,1.0
38,123,1.0
38,113,1.0
39,124,1.0
39,157,1.0
40,65,1.0
41,127,1.0
41,115,1.0
43,59,1.0
43,45,1.0
44,78,1.0
44,214,1.0
45,230,1.0
46,78,1.0
46,111,1.0
47,162,1.0
48,163,1.0
48,75,1.0
49,121,1.0
49,92,1.0
50,54,1.0
50,227,1.0
52,122,1.0
52,161,1.0
53,199,1.0
53,123,1.0
54,124,1.0
55,125,1.0
57,1754,1.0
57,203,1.0
58,238,1.0
58,149,1.0
59,148,1.0
60,106,1.0
60,134,1.0
61,202,1.0
61,135,0.7966102
62,537,1.0
62,2425,0.82417583
62,644,1.0
63,227,1.0
63,186,1.0
64,173,1.0
64,188,1.0
65,136,1.0
66,186,1.0
66,146,1.0
67,183,1.0
68,151,1.0
69,165,1.0
71,185,1.0
73,138,1.0
75,193,1.0
76,233,1.0
76,88,1.0
77,193,1.0
77,213,1.0
79,239,1.0
80,153,1.0
84,224,1.0
84,86,1.0
85,1016,1.0
85,1727,1.0
88,116,1.0
91,901,1.0
92,164,1.0
94,201,1.0
95,1897,1.0
95,1599,1.0
96,184,1.0
96,188,1.0
97,835,1.0
97,102,1.0
100,987,1.0
100,136,1.0
101,189,1.0
101,835,1.0
104,200,1.0
105,114,1.0
105,152,1.0
106,208,1.0
108,204,1.0
108,211,1.0
111,128,1.0
112,182,1.0
113,151,1.0
119,147,1.0
120,239,1.0
120,216,1.0
121,217,1.0
122,150,1.0
125,175,1.0
129,130,0.96728015
132,198,1.0
132,134,1.0
138,181,1.0
139,184,1.0
139,187,1.0
140,228,1.0
140,225,1.0
141,229,1.0
143,196,1.0
143,223,1.0
146,150,1.0
152,222,1.0
157,220,1.0
159,2770,0.70652175
161,236,1.0
162,195,1.0
163,223,1.0
164,224,1.0
165,201,1.0
167,173,1.0
167,225,1.0
169,219,1.0
179,228,1.0
180,181,1.0
183,187,1.0
190,1972,0.86538464
195,199,1.0
196,206,1.0
197,207,1.0
198,238,1.0
200,236,1.0
203,430,1.0
206,212,1.0
207,213,1.0
211,214,1.0
212,234,1.0
215,222,1.0
216,232,1.0
217,233,1.0
218,235,1.0
218,234,1.0
219,235,1.0
229,1823,1.0
230,232,1.0
244,1828,1.0
247,248,0.7889688
256,1836,0.8419453
260,2077,1.0
283,2003,1.0
294,670,1.0
294,2103,1.0
295,2354,0.8988764
300,2261,1.0
300,429,1.0
301,1591,1.0
301,1727,1.0
310,1889,0.9896907
311,312,0.7867647
319,2780,1.0
324,2548,1.0
324,1644,1.0
325,1351,0.9773196
329,2534,1.0
336,337,1.0
349,2674,0.92719483
353,2871,1.0
356,1200,0.73015875
356,2808,1.0
356,981,1.0
357,2394,0.8596491
359,763,1.0
364,1979,1.0
364,2667,1.0
365,1159,1.0
365,1161,1.0
376,2132,1.0
382,1589,0.8103448
382,2782,1.0
382,874,1.0
386,2478,0.7338129
392,2410,0.8974359
396,397,0.7096774
400,410,1.0
400,2307,0.78723407
400,1891,1.0
401,1064,1.0
403,860,1.0
410,2307,0.78723407
410,1435,1.0
411,2871,1.0
411,2808,1.0
427,1528,0.82222223
429,862,1.0
430,2313,1.0
431,2830,1.0
431,872,1.0
432,1777,0.73214287
441,994,1.0
455,1023,0.7542857
461,2865,1.0
461,2863,1.0
461,1896,0.775
466,534,1.0
467,2798,0.9298246
468,2170,0.74626863
471,2011,0.85393256
485,486,0.78571427
492,2155,0.896
494,810,1.0
496,814,0.84210527
496,1320,0.99415207
497,596,1.0
501,1070,1.0
511,2120,0.85128206
514,2330,1.0
521,522,0.71428573
523,2259,1.0
526,1764,1.0
526,2276,0.7432432
537,1662,1.0
537,2425,0.82417583
551,1474,1.0
551,823,1.0
564,2711,1.0
573,2343,1.0
574,1350,1.0
576,577,0.7745098
582,1201,1.0
586,1980,1.0
586,2248,1.0
587,1952,0.9932432
587,2713,0.8397436
596,2147,1.0
597,2763,1.0
610,2791,1.0
615,1953,1.0
631,823,0.721519
631,2782,1.0
644,1561,1.0
650,2140,0.83035713
650,2865,1.0
651,969,0.73770493
651,2133,1.0
666,851,1.0
669,1143,1.0
669,1546,1.0
670,1144,1.0
692,693,0.8487395
696,1837,1.0
696,2548,1.0
696,2161,0.70666665
696,1819,0.72
699,1330,1.0
702,1737,1.0
706,707,0.9866667
720,2138,1.0
735,831,1.0
742,1456,1.0
767,931,0.9
767,2153,1.0
772,1907,0.89361703
790,2434,1.0
790,1563,1.0
791,792,0.96183205
810,1589,0.9137931
812,2376,1.0
814,1320,1.0
822,2207,0.845679
822,2383,0.7692308
829,830,0.7898305
848,1698,0.7638889
856,1530,1.0
856,1212,1.0
862,1897,1.0
863,1266,1.0
863,1991,1.0
872,2361,1.0
874,2637,0.8103448
874,1222,1.0
874,2300,0.8103448
885,1048,1.0
885,2262,1.0
887,888,0.9010417
891,1556,0.8039216
896,1270,0.8933333
896,947,1.0
902,903,0.7548387
909,1230,1.0
911,1812,0.8680352
916,2864,1.0
924,1884,1.0
935,2301,1.0
937,1719,0.86178863
946,2717,1.0
947,1270,0.8933333
947,1683,1.0
950,2190,0.92622954
962,1801,1.0
969,2329,0.75409836
978,2792,0.83928573
979,2262,1.0
979,1599,1.0
981,1234,0.8153846
981,1200,0.73015875
994,2642,1.0
1013,1055,0.75409836
1016,2313,1.0
1033,2082,0.816944
1042,1384,1.0
1048,1591,1.0
1052,2328,1.0
1057,2625,0.9324324
1069,2496,0.77020204
1069,1359,1.0
1073,2392,0.8965517
1104,1267,0.8559322
1110,1111,0.7265306
1143,1460,1.0
1144,1461,1.0
1159,1345,1.0
1161,2668,1.0
1162,1304,0.8888889
1187,1361,1.0
1198,1567,0.85365856
1206,1225,1.0
1211,1838,1.0
1212,1801,1.0
1214,2358,0.89285713
1214,2170,1.0
1222,2300,0.8103448
1226,2749,1.0
1230,2433,1.0
1252,2312,1.0
1266,1898,1.0
1274,1301,1.0
1274,1802,1.0
1282,2809,1.0
1286,2768,1.0
1301,2513,1.0
